Bujur,Lintang,FAA,Elevation_m,UTM_X,UTM_Y
123.333498,0.002922,-148.61,-3249.4202,537110.1885222839,10000322.974302754
123.2482766,0.0023218,-148.59,-3051.7578,527627.0564972046,10000256.63108668
123.3342038,0.0029212,-148.59,-3250.3948,537188.7277333387,10000322.885900542
123.2475661,0.0023258,-148.57,-3049.0723,527547.9948908475,10000257.073197154
123.3349096,0.0029212,-148.57,-3251.3896,537267.2669500486,10000322.885923924
123.246856,0.0023302,-148.56,-3046.322,527468.9777991478,10000257.559520062
123.3356155,0.0029218,-148.56,-3252.3838,537345.8173001233,10000322.952266533
123.2461465,0.0023353,-148.54,-3043.5696,527390.0274772821,10000258.12321472
123.3363213,0.0029231,-148.54,-3253.3962,537424.3565281869,10000323.095981568
123.2454376,0.0023408,-148.53,-3040.7805,527311.1439252304,10000258.731121795
123.3370272,0.0029248,-148.52,-3254.4167,537502.90688965,10000323.283909468
123.2447293,0.0023466,-148.51,-3037.9626,527232.3271429746,10000259.372188175
123.3377331,0.002927,-148.5,-3255.4485,537581.4572568245,10000323.527103432
123.2440215,0.0023524,-148.49,-3035.1323,527153.5660028973,10000260.01325454
123.338439,0.0029298,-148.48,-3256.5024,537660.0076297215,10000323.836616678
123.2433143,0.0023581,-148.47,-3032.2463,527074.8716325766,10000260.64326778
123.2426076,0.0023636,-148.46,-3029.362,526996.2329044007,10000261.251174796
123.3391449,0.0029332,-148.46,-3257.5562,537738.558008353,10000324.212449212
123.2419013,0.0023686,-148.44,-3026.4158,526917.6386907503,10000261.803816278
123.3398507,0.002937,-148.44,-3258.65,537817.0972650445,10000324.63249465
123.2411956,0.0023732,-148.42,-3023.4597,526839.1112468009,10000262.31224534
123.3405564,0.0029413,-148.42,-3259.7449,537895.6253998018,10000325.107806204
123.2404904,0.0023774,-148.4,-3020.4705,526760.639444935,10000262.776461989
123.2397857,0.0023812,-148.39,-3017.4458,526682.2232851265,10000263.196466228
123.3412619,0.0029461,-148.39,-3260.8696,537974.1312849425,10000325.638383878
123.2390813,0.0023845,-148.37,-3014.4128,526603.8405121749,10000263.561204964
123.3419671,0.0029514,-148.37,-3262.0137,538052.6037927694,10000326.224227684
123.2383774,0.0023873,-148.35,-3011.3208,526525.5133812493,10000263.870678209
123.3426722,0.0029571,-148.35,-3263.172,538131.0651786886,10000326.85428444
123.237674,0.0023894,-148.33,-3008.2288,526447.24189233,10000264.102779768
123.3433772,0.0029634,-148.33,-3264.3748,538209.5154427056,10000327.550660562
123.2369709,0.0023911,-148.31,-3005.0852,526369.0037902071,10000264.290668948
123.3440822,0.0029704,-148.31,-3265.5776,538287.9657125213,10000328.324409273
123.2362683,0.0023924,-148.29,-3001.9258,526290.8213300488,10000264.434345763
123.3447872,0.002978,-148.28,-3266.84,538366.415988148,10000329.164477386
123.2355659,0.0023933,-148.27,-2998.7397,526212.6611290572,10000264.533810211
123.3454924,0.0029864,-148.26,-3268.1113,538444.8885249925,10000330.092971336
123.2348637,0.0023938,-148.25,-2995.5105,526134.5231872224,10000264.589062303
123.3461976,0.0029956,-148.24,-3269.422,538523.3610676734,10000331.109891135
123.2341618,0.0023939,-148.23,-2992.2808,526056.4186321159,10000264.600102048
123.3469031,0.0030055,-148.22,-3270.7708,538601.8669993068,10000332.204183612
123.2334599,0.0023936,-148.21,-2988.983,525978.3140809567,10000264.566929435
123.2327583,0.0023929,-148.19,-2985.6853,525900.2429164925,10000264.489544494
123.3476086,0.0030157,-148.19,-3272.133,538680.3729368194,10000333.33163593
123.2320568,0.0023916,-148.17,-2982.3423,525822.1828835373,10000264.345841022
123.3483144,0.0030262,-148.17,-3273.567,538758.9122633322,10000334.49224811
123.2313555,0.0023895,-148.15,-2978.9722,525744.1451096713,10000264.113712847
123.3490204,0.0030365,-148.15,-3275.0024,538837.4738511783,10000335.630754102
123.2306544,0.0023864,-148.13,-2975.5818,525666.1295948803,10000263.771053793
123.3497266,0.003046,-148.12,-3276.51,538916.0577003993,10000336.680834629
123.2299535,0.0023821,-148.11,-2972.137,525588.1363391523,10000263.295757685
123.350433,0.0030545,-148.1,-3278.0376,538994.6638110144,10000337.620383244
123.2292529,0.0023769,-148.09,-2968.6902,525510.1764700555,10000262.720983822
123.2285525,0.0023711,-148.07,-2965.183,525432.2388599762,10000262.079891505
123.3511395,0.0030618,-148.07,-3279.6067,539073.2810553475,10000338.427293496
123.2278523,0.0023648,-148.05,-2961.6667,525354.3235089005,10000261.383533826
123.3518459,0.0030678,-148.05,-3281.229,539151.8871780002,10000339.090512132
123.2271523,0.002358,-148.03,-2958.1172,525276.4304168159,10000260.6319108
123.3525524,0.0030731,-148.02,-3282.8596,539230.5044343738,10000339.676358417
123.2264526,0.0023503,-148.01,-2954.5337,525198.5707112952,10000259.78081007
123.3532588,0.003078,-148.0,-3284.5852,539309.1105690602,10000340.217991976
123.2257531,0.0023418,-147.98,-2950.9412,525120.7332647399,10000258.841284735
123.3539652,0.0030824,-147.97,-3286.3113,539387.7167097795,10000340.704359584
123.2250537,0.0023324,-147.96,-2947.2922,525042.9069495479,10000257.80228172
123.2243543,0.0023221,-147.94,-2943.64,524965.0806381268,10000256.663801031
123.3546715,0.0030866,-147.94,-3288.1155,539466.3117288193,10000341.16862088
123.223655,0.0023113,-147.92,-2939.9434,524887.265458039,10000255.470055047
123.3553777,0.0030905,-147.91,-3289.9512,539544.8956261986,10000341.59972264
123.2229557,0.0023002,-147.9,-2936.2297,524809.4502816895,10000254.243149951
123.3560837,0.0030941,-147.89,-3291.827,539623.457274209,10000341.997664852
123.2222564,0.0022887,-147.87,-2932.4954,524731.6351090627,10000252.972032657
123.3567895,0.0030972,-147.86,-3293.7761,539701.9966728676,10000342.340341069
123.2215571,0.0022771,-147.85,-2928.724,524653.8199401441,10000251.68986243
123.2208577,0.0022653,-147.83,-2924.9517,524575.9936473476,10000250.38558619
123.3574951,0.0030998,-147.83,-3295.7249,539780.5138221814,10000342.627751278
123.3582005,0.0031018,-147.81,-3297.7903,539859.0087221613,10000342.848842245
123.2201581,0.0022535,-147.8,-2921.1296,524498.1451030752,10000249.081310106
123.2194584,0.0022413,-147.78,-2917.3035,524420.285434906,10000247.732821835
123.3589056,0.0031033,-147.78,-3299.8555,539937.4702450917,10000343.014667168
123.2187585,0.0022288,-147.76,-2913.4521,524342.4035152504,10000246.351174472
123.3596104,0.0031045,-147.75,-3301.9968,540015.8983909723,10000343.14733249
123.2180584,0.002216,-147.74,-2909.5823,524264.49934409984,10000244.936368017
123.3603149,0.0031056,-147.72,-3304.1829,540094.2931598027,10000343.268944647
123.2173579,0.0022027,-147.71,-2905.7034,524186.5506662925,10000243.466296297
123.2166571,0.0021889,-147.69,-2901.8027,524108.56860940176,10000241.940959329
123.3610192,0.0031066,-147.69,-3306.4019,540172.6656792997,10000343.379503643
123.2159559,0.0021746,-147.66,-2897.8982,524030.5420458447,10000240.36035711
123.3617231,0.0031073,-147.66,-3308.7136,540250.9936940392,10000343.456903014
123.2152542,0.0021601,-147.64,-2893.9639,523952.45984803286,10000238.757648904
123.3624265,0.0031077,-147.64,-3311.0234,540329.2660763052,10000343.501142748
