lon,lat,faa_topex
123.625,-0.0416,-142.1
123.6417,-0.0416,-139.3
123.6583,-0.0416,-137.5
123.675,-0.0416,-136.9
123.6917,-0.0416,-137.2
123.7083,-0.0416,-137.3
123.725,-0.0416,-136.5
123.7417,-0.0416,-134.5
123.7583,-0.0416,-131.8
123.775,-0.0416,-128.9
123.7917,-0.0416,-126.6
123.8083,-0.0416,-125.2
123.825,-0.0416,-124.5
123.8417,-0.0416,-123.9
123.8583,-0.0416,-122.9
123.875,-0.0416,-121.5
123.8917,-0.0416,-120
123.9083,-0.0416,-118.3
123.925,-0.0416,-116.5
123.9417,-0.0416,-114.7
123.9583,-0.0416,-113.2
123.975,-0.0416,-112.2
123.9917,-0.0416,-111.6
124.0083,-0.0416,-110.8
120.0083,-0.0582,57.3
120.025,-0.0582,56.7
120.0417,-0.0582,58
120.0583,-0.0582,60.7
120.075,-0.0582,62.9
120.0917,-0.0582,62.5
120.1083,-0.0582,59.4
120.125,-0.0582,54.9
120.1417,-0.0582,49.3
120.1583,-0.0582,42.5
120.175,-0.0582,34.7
120.1917,-0.0582,26.7
120.2083,-0.0582,18.7
120.225,-0.0582,11.6
120.2417,-0.0582,5.8
120.2583,-0.0582,2.1
120.275,-0.0582,0.7
120.2917,-0.0582,0.5
120.3083,-0.0582,-1.1
120.325,-0.0582,-5.2
120.3417,-0.0582,-10
120.3583,-0.0582,-13.1
120.375,-0.0582,-13.9
120.3917,-0.0582,-13.2
120.4083,-0.0582,-11.6
120.425,-0.0582,-9.5
120.4417,-0.0582,-8.2
120.4583,-0.0582,-8.1
120.475,-0.0582,-8.1
120.4917,-0.0582,-7.5
120.5083,-0.0582,-6.3
120.525,-0.0582,-5.5
120.5417,-0.0582,-5.6
120.5583,-0.0582,-6.3
120.575,-0.0582,-7.2
120.5917,-0.0582,-8.1
120.6083,-0.0582,-9.2
120.625,-0.0582,-10.5
120.6417,-0.0582,-11.7
120.6583,-0.0582,-12.2
120.675,-0.0582,-12.4
120.6917,-0.0582,-12.6
120.7083,-0.0582,-13
120.725,-0.0582,-13.5
120.7417,-0.0582,-14.1
120.7583,-0.0582,-15.4
120.775,-0.0582,-17.5
120.7917,-0.0582,-20
120.8083,-0.0582,-22.4
120.825,-0.0582,-24
120.8417,-0.0582,-24.8
120.8583,-0.0582,-24.7
120.875,-0.0582,-23.9
120.8917,-0.0582,-22.5
120.9083,-0.0582,-21.1
120.925,-0.0582,-20.1
120.9417,-0.0582,-19.4
120.9583,-0.0582,-18.5
120.975,-0.0582,-17.1
120.9917,-0.0582,-15.1
121.0083,-0.0582,-12.9
121.025,-0.0582,-11.2
121.0417,-0.0582,-10.3
121.0583,-0.0582,-10
121.075,-0.0582,-9.7
121.0917,-0.0582,-8.9
121.1083,-0.0582,-7.2
121.125,-0.0582,-5.1
121.1417,-0.0582,-3
121.1583,-0.0582,-1.4
121.175,-0.0582,-0.3
121.1917,-0.0582,0.8
121.2083,-0.0582,2.1
121.225,-0.0582,3.8
121.2417,-0.0582,5.6
121.2583,-0.0582,7.3
121.275,-0.0582,9.2
121.2917,-0.0582,11.5
121.3083,-0.0582,13.7
121.325,-0.0582,15
121.3417,-0.0582,15.4
121.3583,-0.0582,15
121.375,-0.0582,14.6
121.3917,-0.0582,14.4
121.4083,-0.0582,14.8
121.425,-0.0582,15.8
121.4417,-0.0582,16.6
121.4583,-0.0582,17.1
121.475,-0.0582,17.9
121.4917,-0.0582,19.8
121.5083,-0.0582,23.8
121.525,-0.0582,29.6
121.5417,-0.0582,36.2
121.5583,-0.0582,42.5
121.575,-0.0582,47.8
121.5917,-0.0582,51.6
121.6083,-0.0582,53.3
121.625,-0.0582,52.9
121.6417,-0.0582,51.5
121.6583,-0.0582,50.5
121.675,-0.0582,50.1
121.6917,-0.0582,49.7
121.7083,-0.0582,48.6
121.725,-0.0582,46.3
121.7417,-0.0582,42.1
121.7583,-0.0582,36.4
121.775,-0.0582,30.3
121.7917,-0.0582,25.3
121.8083,-0.0582,22.7
